n,m,parseTime,SATime,SearchTime,Description
28,26,105,11,3,sameChar
28,27,123,11,3,sameChar
29,1,108,12,1,sameChar
29,2,118,12,1,sameChar
29,3,122,12,2,sameChar
29,4,110,12,2,sameChar
29,5,126,13,1,sameChar
29,6,114,12,2,sameChar
29,7,123,12,2,sameChar
29,8,160,12,2,sameChar
29,9,138,14,2,sameChar
29,10,145,12,2,sameChar
29,11,166,12,2,sameChar
29,12,137,12,6,sameChar
29,13,173,20,2,sameChar
29,14,122,11,3,sameChar
29,15,114,11,3,sameChar
29,16,151,12,4,sameChar
29,17,102,12,3,sameChar
29,18,120,12,2,sameChar
29,19,117,12,3,sameChar
29,20,120,13,2,sameChar
29,21,110,11,16,sameChar
29,22,114,12,4,sameChar
29,23,108,11,3,sameChar
29,24,119,11,2,sameChar
29,25,107,12,3,sameChar
29,26,109,11,4,sameChar
29,27,107,12,3,sameChar
29,28,109,12,3,sameChar
30,1,105,13,1,sameChar
30,2,103,14,1,sameChar
30,3,107,13,3,sameChar
30,4,108,12,1,sameChar
30,5,110,13,2,sameChar
30,6,108,19,2,sameChar
30,7,104,13,2,sameChar
30,8,109,12,1,sameChar
30,9,122,12,2,sameChar
30,10,113,13,2,sameChar
30,11,103,13,2,sameChar
30,12,122,12,2,sameChar
30,13,109,12,2,sameChar
30,14,135,13,3,sameChar
30,15,113,13,2,sameChar
30,16,132,12,2,sameChar
30,17,111,13,2,sameChar
30,18,115,13,6,sameChar
30,19,143,13,2,sameChar
30,20,146,13,3,sameChar
30,21,132,13,3,sameChar
30,22,190,13,3,sameChar
30,23,173,13,3,sameChar
30,24,187,13,3,sameChar
30,25,132,13,3,sameChar
30,26,117,13,3,sameChar
30,27,123,17,4,sameChar
30,28,105,12,3,sameChar
30,29,105,13,3,sameChar
31,1,106,13,1,sameChar
31,2,116,14,2,sameChar
31,3,122,14,1,sameChar
31,4,109,14,3,sameChar
31,5,126,14,2,sameChar
31,6,109,14,2,sameChar
31,7,117,14,2,sameChar
31,8,116,14,2,sameChar
31,9,114,14,2,sameChar
31,10,106,13,1,sameChar
31,11,111,14,2,sameChar
31,12,109,14,2,sameChar
31,13,118,14,2,sameChar
31,14,129,14,3,sameChar
31,15,107,14,2,sameChar
31,16,141,14,3,sameChar
31,17,120,14,2,sameChar
31,18,104,14,3,sameChar
31,19,104,20,4,sameChar
31,20,126,14,3,sameChar
31,21,108,13,2,sameChar
31,22,130,14,3,sameChar
31,23,107,14,4,sameChar
31,24,141,14,3,sameChar
31,25,116,14,3,sameChar
31,26,121,14,3,sameChar
31,27,123,14,3,sameChar
31,28,121,13,3,sameChar
31,29,131,14,3,sameChar
31,30,158,17,3,sameChar
32,1,138,16,2,sameChar
32,2,151,15,2,sameChar
32,3,162,15,1,sameChar
32,4,148,15,2,sameChar
32,5,148,15,1,sameChar
32,6,121,15,2,sameChar
32,7,116,15,2,sameChar
32,8,125,15,3,sameChar
32,9,107,19,2,sameChar
32,10,125,15,2,sameChar
32,11,119,14,2,sameChar
32,12,118,15,2,sameChar
32,13,115,14,2,sameChar
32,14,110,15,2,sameChar
32,15,105,14,3,sameChar
32,16,106,27,3,sameChar
32,17,107,15,2,sameChar
32,18,106,15,2,sameChar
32,19,113,18,2,sameChar
32,20,109,15,3,sameChar
32,21,123,14,3,sameChar
32,22,108,14,3,sameChar
32,23,112,14,4,sameChar
32,24,119,15,4,sameChar
32,25,123,15,3,sameChar
32,26,124,14,3,sameChar
32,27,123,14,3,sameChar
32,28,130,15,3,sameChar
32,29,141,15,3,sameChar
32,30,110,15,3,sameChar
32,31,122,14,4,sameChar
33,1,116,15,2,sameChar
33,2,119,15,1,sameChar
33,3,137,16,1,sameChar
33,4,124,16,2,sameChar
33,5,137,15,1,sameChar
33,6,127,16,2,sameChar
33,7,118,20,3,sameChar
33,8,153,16,2,sameChar
33,9,140,16,2,sameChar
33,10,149,14,2,sameChar
33,11,197,15,3,sameChar
33,12,126,16,2,sameChar
33,13,163,16,2,sameChar
33,14,124,16,2,sameChar
33,15,119,15,3,sameChar
33,16,123,16,3,sameChar
33,17,106,15,2,sameChar
33,18,107,16,2,sameChar
33,19,113,15,3,sameChar
